no;title;rating_avg;rating_total;year
456;Sanjuro;84.3;2056;1962
457;Star Trek;83.8;43753;2009
458;Logan: Wolverine;83.8;35884;2017
459;Čínská čtvrť;83.9;12485;1974
460;Bílá nemoc;83.9;8130;1937
461;Nebožtíci přejí lásce;83.9;5777;1972
462;Kráva;83.9;5332;1993
463;Byl jsem při tom;84.0;5000;1979
464;Jeden život;84.0;4518;2023
465;Medená veža;84.1;4153;1970
466;Vražda na objednávku;84.1;3478;1954
467;Smrt si říká Engelchen;84.0;3426;1963
468;Panu učiteli s láskou;84.2;2595;1967
469;Amatér;84.4;1706;1979
470;Někdo tam nahoře mě má rád;84.5;1449;1956
471;Maurice Richard;84.5;1410;2005
472;Šumař na střeše;84.5;1338;1971
473;Présumé coupable;84.6;1292;2011
474;The Stoning of Soraya M.;84.5;1231;2008
475;Život je úžasný;84.7;1158;2013
476;Poslední štace;84.8;911;1924
477;Žhavé výstřely;83.8;40281;1991
478;Mechanický pomeranč;83.8;35074;1971
479;Goldfinger;83.7;16157;1964
480;Zkažená mládež;83.7;15721;2007
481;Batman: Návrat Temného rytíře, část 2.;83.9;4619;2013
482;Rašómon;83.9;4263;1950
483;Staré pověsti české;84.2;1898;1952
484;Rvačka mezi muži;84.5;1157;1955
485;Poznamenaní;84.8;864;1948
486;Chlapec v pruhovaném pyžamu;83.6;27891;2008
487;Thelma a Louise;83.6;16548;1991
488;Dokonalý svět;83.6;15849;1993
489;Annie Hallová;83.7;12041;1977
490;Vůně ženy;83.7;10632;1992
491;Brubaker;83.8;7707;1980
492;Doručovací služba čarodějky Kiki;83.8;6789;1989
493;Lesní jahody;83.9;3111;1957
494;Vlčí děti;84.1;2046;2012
495;Plynové lampy;84.1;1928;1944
496;Laurel a Hardy;84.3;1402;1965
497;Pan Smith přichází;84.3;1340;1939
498;Eso v rukávu;84.4;1196;1951
499;Vojna a mír III: Rok 1812;84.8;846;1967
500;Aurore;85.3;554;2005
501;Smrtonosná past 2;83.5;38238;1990
502;Walk the Line;83.6;25385;2005
503;Hledání Země Nezemě;83.5;23741;2004
504;Amores perros - Láska je kurva;83.5;21964;2000
505;Mrtvý muž;83.6;16684;1995
506;Misery nechce zemřít;83.5;14787;1990
507;Petrolejové lampy;83.6;8406;1971
508;Sedím na konári a je mi dobre;83.6;7037;1989
509;Control;83.7;6032;2007
510;S láskou Vincent;83.6;5347;2017
511;Jeremiah Johnson;83.7;4336;1972
512;Jako zabít ptáčka;83.7;3765;1962
513;Metro Manila;83.8;3226;2013
514;Silnice;83.8;3023;1954
515;Mzda strachu;83.8;2821;1953
516;Džúbei a umění nindžucu;83.9;2297;1993
517;Kdo to tam zpívá;84.3;1226;1980
518;Vlk z Wall Street;83.4;66478;2013
519;Hacksaw Ridge: Zrození hrdiny;83.5;29552;2016
520;Návrat do Cold Mountain;83.4;25632;2003
521;Černá kočka, bílý kocour;83.5;15505;1998
522;Pro hrst dolarů;83.5;13523;1964
523;Ghost in the Shell;83.5;8617;1995
524;Dotek Medúzy;83.5;6934;1978
525;Jesus Christ Superstar;83.5;5100;1973
526;Volání divočiny;83.7;3883;1966
527;Na Zlatém jezeře;83.7;2595;1981
528;Ghost in the Shell 2.0;83.8;2324;2008
529;Mother and Child;83.8;2315;2009
530;Boxer a smrť;83.9;1723;1962
531;Berserk: Ógon džidai hen II – Doldrey kórjaku;84.0;1684;2012
532;Kinoautomat: Člověk a jeho dům;84.2;1182;1967
533;Díra;84.4;946;1960
534;Obchod za rohem;84.5;847;1940
535;Jsem uprchlý galejník;86.0;367;1932
536;Georges Bizet: Carmen;87.2;244;1984
537;Big Lebowski;83.3;47108;1998
538;Ti druzí;83.4;34954;2001
539;Šíleně smutná princezna;83.3;32700;1968
540;Moulin Rouge;83.4;30845;2001
541;Základní instinkt;83.3;26244;1992
542;Dálnice 60;83.3;17272;2002
543;Opustit Las Vegas;83.4;10755;1995
544;Stalker;83.4;10252;1979
545;Růžový panter znovu zasahuje;83.4;9151;1976
546;Hotel Mumbai;83.5;5751;2018
547;Arrietty ze světa půjčovníčků;83.5;4798;2010
548;Něco z Alenky;83.6;3448;1988
549;Návrat;83.6;3307;2003
550;Smrtící bumerang;83.6;3087;1996
551;Kaktusový květ;83.7;2976;1969
552;Mastičkář;83.8;1883;1981
553;Žít;83.9;1589;1952
554;Vozka smrti;83.9;1553;1921
555;Zavěste červené lucerny;84.0;1390;1991
556;Člověk z mramoru;84.1;1136;1977
557;Vojna a mír IV: Pierre Bezuchov;84.5;764;1967
558;Být či nebýt;84.7;711;1942
559;Huo zhe;84.7;676;1994
560;Jak utopit Dr. Mráčka aneb Konec vodníků v Čechách;83.2;37126;1974
561;Vinnetou - Poslední výstřel;83.2;18898;1965
562;Černý Petr;83.3;9518;1963
563;Vše o mé matce;83.3;7998;1999
564;Jih proti Severu;83.4;5598;1939
565;Adelheid;83.4;5325;1969
566;Americká noc;83.5;3152;1973
567;Raz, dva, tři;83.7;2122;1961
568;Pramen panny;83.7;1977;1960
569;Stalag 17;83.8;1474;1953
570;Chladnokrevně;84.0;1168;1967
571;Jagna;84.0;1126;2023
